head	relation	tail	time
Police (South Africa)	Investigate	South Africa	2015-02-13
Police (South Africa)	Investigate	Men (South Africa)	2009-05-06
Police (South Africa)	Investigate	South Africa	2011-10-27
Police (South Africa)	Investigate	South Africa	2007-03-06
Police (South Africa)	Investigate	Armed Gang (South Africa)	2009-11-18
Police (South Africa)	Investigate	Men (South Africa)	2005-01-18
Police (South Africa)	Investigate	Men (South Africa)	2014-03-23
Police (South Africa)	Investigate	Men (South Africa)	2011-06-13
Police (South Africa)	Investigate	Men (South Africa)	2005-03-30
Police (South Africa)	Investigate	Men (South Africa)	2009-05-22
Police (South Africa)	Investigate	Men (South Africa)	2012-03-16
Police (South Africa)	Investigate	South Africa	2014-04-14
Citizen (Croatia)	Criticize or denounce	Government (Croatia)	2011-04-16
Citizen (Croatia)	Criticize or denounce	Government (Croatia)	2008-09-19
Rajya Sabha	Criticize or denounce	Member of Parliament (India)	2008-07-24
Rajya Sabha	Criticize or denounce	Court Judge (India)	2011-08-10
Rajya Sabha	Criticize or denounce	Bhupinder Singh Hooda	2014-08-11
Yoshihiko Noda	Express intent to meet or negotiate	Japan	2012-01-06
Yoshihiko Noda	Express intent to meet or negotiate	Japan	2011-12-20
Yoshihiko Noda	Express intent to meet or negotiate	Wen Jiabao	2011-12-16
Yoshihiko Noda	Express intent to meet or negotiate	Barack Obama	2012-04-29
Yoshihiko Noda	Express intent to meet or negotiate	Japan	2012-07-19
Yoshihiko Noda	Express intent to meet or negotiate	China	2012-03-02
Yoshihiko Noda	Express intent to meet or negotiate	Barack Obama	2011-11-03
Yoshihiko Noda	Express intent to meet or negotiate	Japan	2011-09-10
Yoshihiko Noda	Express intent to meet or negotiate	China	2011-11-23
Yoshihiko Noda	Express intent to meet or negotiate	Japan	2012-02-18
Yoshihiko Noda	Express intent to meet or negotiate	Governor (Japan)	2011-12-30
Cristina Fernández de Kirchner	Make a visit	China	2010-07-12
Cristina Fernández de Kirchner	Make a visit	Bolivia	2012-07-19
Cristina Fernández de Kirchner	Make a visit	China	2010-07-24
Cristina Fernández de Kirchner	Make a visit	France	2007-02-04
Cristina Fernández de Kirchner	Make a visit	Vietnam	2013-01-18
Cristina Fernández de Kirchner	Make a visit	China	2010-07-15
Cristina Fernández de Kirchner	Make a visit	Hui Liangyu	2009-02-13
Cristina Fernández de Kirchner	Make a visit	Bolivia	2015-07-15
Cristina Fernández de Kirchner	Make a visit	Congress (Argentina)	2012-12-13
Cristina Fernández de Kirchner	Make a visit	France	2011-09-15
Cristina Fernández de Kirchner	Make a visit	Daniel Scioli	2015-08-29
Cristina Fernández de Kirchner	Make a visit	China	2015-03-01
Cristina Fernández de Kirchner	Make a visit	Bolivia	2010-01-04
Cristina Fernández de Kirchner	Make a visit	Trinidad and Tobago	2009-04-16
Cristina Fernández de Kirchner	Make a visit	France	2011-11-02
Cristina Fernández de Kirchner	Make a visit	China	2015-02-12
Member of Legislative (Govt) (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2011-06-08
Member of Legislative (Govt) (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2015-01-07
Member of Legislative (Govt) (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2015-06-05
Member of Legislative (Govt) (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2006-01-06
Member of Legislative (Govt) (Nigeria)	Make an appeal or request	Citizen (Nigeria)	2011-07-19
Member of Legislative (Govt) (Nigeria)	Make an appeal or request	Other Authorities / Officials (Nigeria)	2015-04-06
New Patriotic Party	Make statement	John Dramani Mahama	2012-09-27
Naval (United States)	Praise or endorse	Japan	2006-01-06
Special Court for Sierra Leone	Arrest, detain, or charge with legal action	Charles Taylor	2009-02-03
Special Court for Sierra Leone	Arrest, detain, or charge with legal action	Charles Taylor	2008-04-07
Special Court for Sierra Leone	Arrest, detain, or charge with legal action	Charles Taylor	2012-05-29
Special Court for Sierra Leone	Arrest, detain, or charge with legal action	Charles Taylor	2006-09-22
Special Court for Sierra Leone	Arrest, detain, or charge with legal action	Charles Taylor	2007-12-13
Special Court for Sierra Leone	Arrest, detain, or charge with legal action	Charles Taylor	2013-10-17
Special Court for Sierra Leone	Arrest, detain, or charge with legal action	Charles Taylor	2008-12-03
Special Court for Sierra Leone	Arrest, detain, or charge with legal action	Charles Taylor	2012-04-30
Special Court for Sierra Leone	Arrest, detain, or charge with legal action	Charles Taylor	2007-08-15
Special Court for Sierra Leone	Arrest, detain, or charge with legal action	Charles Taylor	2006-06-21
Special Court for Sierra Leone	Arrest, detain, or charge with legal action	Charles Taylor	2006-04-10
Cambodia	Host a visit	Robert Hill	2005-04-05
Cambodia	Host a visit	Wen Jiabao	2006-04-10
Cambodia	Host a visit	Association of Southeast Asian Nations	2011-02-05
Cambodia	Host a visit	Itthaporn Subhawong	2009-09-15
Cambodia	Host a visit	Vietnam	2007-09-21
Cambodia	Host a visit	President of the Senate (Australia)	2007-02-14
Cambodia	Host a visit	Yoshihiko Noda	2012-11-18
Cambodia	Host a visit	Barack Obama	2012-11-20
Cambodia	Host a visit	Association of Southeast Asian Nations	2012-11-14
Cambodia	Host a visit	Association of Southeast Asian Nations	2012-11-19
Cambodia	Host a visit	Roh Moo Hyun	2006-11-21
Cambodia	Host a visit	Association of Southeast Asian Nations	2012-07-16
Cambodia	Host a visit	Thailand	2010-12-21
Cambodia	Host a visit	Activist (Thailand)	2014-07-02
Cambodia	Host a visit	Thailand	2011-09-28
Cambodia	Host a visit	Association of Southeast Asian Nations	2007-03-06
Cambodia	Host a visit	Abhisit Vejjajiva	2011-01-16
Cambodia	Host a visit	Vietnam	2009-03-17
Cambodia	Host a visit	Vietnam	2012-06-21
Cambodia	Host a visit	Roh Moo Hyun	2006-07-19
Cambodia	Host a visit	James Wolfensohn	2005-02-11
Cambodia	Host a visit	Barack Obama	2012-11-08
Cambodia	Host a visit	Media Personnel (New Zealand)	2006-02-24
Cambodia	Host a visit	Association of Southeast Asian Nations	2012-08-28
Cambodia	Host a visit	Barack Obama	2012-11-15
Cambodia	Host a visit	Head of Government (South Korea)	2012-11-19
Cambodia	Host a visit	Vietnam	2012-07-18
Cambodia	Host a visit	Wen Jiabao	2006-04-11
Cambodia	Host a visit	Chen Zhili	2008-12-16
Evo Morales	Consult	Majid Takht Ravanchi	2014-01-23
Evo Morales	Consult	Bolivia	2005-12-29
Evo Morales	Consult	Bolivia	2006-05-11
Evo Morales	Consult	Cristina Fernández de Kirchner	2008-09-13
Evo Morales	Consult	Majid Takht Ravanchi	2014-01-21
Evo Morales	Consult	Bolivia	2008-02-24
Evo Morales	Consult	Bolivia	2009-01-22
Evo Morales	Consult	Bolivia	2007-08-07
Evo Morales	Consult	Bolivia	2012-06-01
Evo Morales	Consult	Colombia	2012-03-15
Evo Morales	Consult	Raúl Castro	2007-06-07
Evo Morales	Consult	Mahmoud Ahmadinejad	2010-09-22
Evo Morales	Consult	Head of Government (Cuba)	2009-10-22
Evo Morales	Consult	Mahmoud Ahmadinejad	2009-11-25
Evo Morales	Consult	Raúl Castro	2009-01-19
Evo Morales	Consult	Bolivia	2011-12-26
Evo Morales	Consult	Bolivia	2010-08-03
Evo Morales	Consult	Xi Jinping	2013-12-20
Evo Morales	Consult	Activist (United States)	2005-12-28
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	South Korea	2006-03-22
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	Vietnam	2010-09-14
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	Japan	2005-06-10
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	Vietnam	2006-10-24
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	Ministry (Vietnam)	2006-02-07
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	South Africa	2007-08-03
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	Japan	2014-06-30
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	Vietnam	2008-10-29
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	Vietnam	2010-05-28
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	Thailand	2008-08-20
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	China	2008-12-10
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	Thailand	2013-05-17
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	Vietnam	2005-09-27
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	China	2012-05-21
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	China	2008-11-17
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	China	2011-12-14
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	Vietnam	2007-03-13
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	China	2006-10-16
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	Vietnam	2006-08-21
Cambodia	Express intent to engage in diplomatic cooperation (such as policy support)	Thailand	2015-12-07
Tony Blair	Accuse	Iran	2006-07-16
Tony Blair	Accuse	Lawmaker (United Kingdom)	2006-04-23
Tony Blair	Accuse	Iran	2006-12-21
Tony Blair	Accuse	Iran	2007-06-03
Tony Blair	Accuse	Central Intelligence Agency	2006-06-10
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Citizen (Nigeria)	2005-12-28
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Citizen (Nigeria)	2011-02-24
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Democratic Party (Nigeria)	2006-05-20
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Government (Nigeria)	2011-12-06
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Head of Government (Nigeria)	2006-05-03
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Militant (Nigeria)	2006-03-13
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Citizen (Nigeria)	2006-12-07
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Government (Nigeria)	2013-01-16
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Citizen (Nigeria)	2015-05-25
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Ministry (Nigeria)	2005-03-02
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Government (Sudan)	2006-10-11
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Citizen (Nigeria)	2006-06-19
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Citizen (Nigeria)	2007-03-20
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Citizen (Nigeria)	2005-09-07
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Citizen (Nigeria)	2015-02-16
Oluṣẹgun Ọbasanjọ	Make an appeal or request	Guinea-Bissau	2005-07-22
Police (Kenya)	Make statement	Kisii	2013-04-12
Police (Kenya)	Make statement	Indigenous People (Kenya)	2015-10-30
Police (Kenya)	Make statement	Student (Kenya)	2009-02-10
Police (Kenya)	Make statement	Student (Kenya)	2012-05-22
Police (Kenya)	Make statement	Al-Shabaab	2013-08-28
Police (Kenya)	Make statement	Student (Kenya)	2015-07-31
Police (Kenya)	Make statement	Military Personnel - Special (Kenya)	2008-03-07
Police (Kenya)	Make statement	Domestic Affairs (Kenya)	2005-01-18
Police (Kenya)	Make statement	Samsung	2014-09-16
Police (Kenya)	Make statement	Mob (Kenya)	2008-01-28
Police (Kenya)	Make statement	Student (Kenya)	2013-10-10
Police (Kenya)	Make statement	Pokot	2006-10-29
Police (Kenya)	Make statement	Student (Kenya)	2015-09-23
Police (Kenya)	Make statement	Al-Shabaab	2012-05-09
African Union	Express intent to cooperate	UN Security Council	2006-01-13
African Union	Express intent to cooperate	Peacekeeping Troop (Sudan)	2006-02-28
Head of Government (Brazil)	Make a visit	Japan	2013-06-21
Head of Government (Brazil)	Make a visit	South Africa	2006-02-08
Head of Government (Brazil)	Make a visit	Middle East	2010-03-04
Laos	Sign formal agreement	Vietnam	2009-03-12
Laos	Sign formal agreement	Thailand	2005-08-03
Laos	Sign formal agreement	Japan	2005-04-28
Laos	Sign formal agreement	Cambodia	2012-09-13
Laos	Sign formal agreement	Malaysia	2008-04-03
Laos	Sign formal agreement	Cambodia	2006-12-05
Laos	Sign formal agreement	China	2005-07-05
Laos	Sign formal agreement	Malaysia	2008-07-22
Laos	Sign formal agreement	Thailand	2005-09-30
Laos	Sign formal agreement	Vietnam	2006-12-08
Laos	Sign formal agreement	Vietnam	2006-01-26
Laos	Sign formal agreement	Cambodia	2008-11-05
Laos	Sign formal agreement	Vietnam	2007-09-11
Laos	Sign formal agreement	Vietnam	2012-09-13
Laos	Sign formal agreement	Thailand	2015-04-30
Laos	Sign formal agreement	China	2011-11-01
Laos	Sign formal agreement	Thailand	2007-09-03
Laos	Sign formal agreement	China	2007-08-28
Laos	Sign formal agreement	Cambodia	2006-12-07
Laos	Sign formal agreement	China	2006-01-26
Laos	Sign formal agreement	Kuwait	2008-08-06
Laos	Sign formal agreement	Malaysia	2005-11-12
Laos	Sign formal agreement	Vietnam	2007-07-10
Medical Association (Nigeria)	Make statement	Medical Personnel (Nigeria)	2014-12-08
Medical Association (Nigeria)	Make statement	Government (Nigeria)	2015-01-16
Benazir Bhutto	Engage in negotiation	Pervez Musharraf	2007-09-09
Benazir Bhutto	Engage in negotiation	Pervez Musharraf	2007-07-29
Benazir Bhutto	Engage in negotiation	Pervez Musharraf	2007-09-16
Ali Bongo Ondimba	Host a visit	Muhammad VI	2013-03-27
Government (Nigeria)	Make pessimistic comment	Education (Nigeria)	2008-03-19
Government (Nigeria)	Make pessimistic comment	Citizen (Nigeria)	2007-08-13
Government (Nigeria)	Make pessimistic comment	Citizen (Nigeria)	2012-10-24
Government (Nigeria)	Make pessimistic comment	Education (Nigeria)	2015-11-06
Government (Nigeria)	Make pessimistic comment	Education (Nigeria)	2009-11-18
Middle East	Express intent to engage in diplomatic cooperation (such as policy support)	Iran	2014-10-20
Lee Myung Bak	Make an appeal or request	Japan	2012-06-11
Lee Myung Bak	Make an appeal or request	China	2012-02-29
Lee Myung Bak	Make an appeal or request	Japan	2011-12-17
Lee Myung Bak	Make an appeal or request	Cambodia	2008-02-26
Lee Myung Bak	Make an appeal or request	Japan	2012-08-18
Lee Myung Bak	Make an appeal or request	Ruling Party (South Korea)	2008-12-29
Lee Myung Bak	Make an appeal or request	Japan	2011-08-16
Lee Myung Bak	Make an appeal or request	Mexico	2012-06-27
Lee Myung Bak	Make an appeal or request	South Korea	2008-07-04
Lee Myung Bak	Make an appeal or request	Citizen (North Korea)	2009-08-24
Lee Myung Bak	Make an appeal or request	Emperor Akihito	2008-04-21
Lee Myung Bak	Make an appeal or request	Roh Moo Hyun	2007-08-22
Lee Myung Bak	Make an appeal or request	South Korea	2010-01-04
Lee Myung Bak	Make an appeal or request	South Korea	2008-09-10
Lee Myung Bak	Make an appeal or request	China	2012-03-01
Lee Myung Bak	Make an appeal or request	Police (South Korea)	2012-08-31
Lee Myung Bak	Make an appeal or request	Foreign Affairs (South Korea)	2012-08-25
Lee Myung Bak	Make an appeal or request	Roh Moo Hyun	2007-10-13
Lee Myung Bak	Make an appeal or request	Citizen (North Korea)	2013-02-20
Japan	Arrest, detain, or charge with legal action	Men (Japan)	2008-06-03
Japan	Arrest, detain, or charge with legal action	Men (Japan)	2010-04-15
Japan	Arrest, detain, or charge with legal action	Men (Japan)	2015-02-27
Japan	Arrest, detain, or charge with legal action	Men (Japan)	2012-01-22
Japan	Arrest, detain, or charge with legal action	Men (Japan)	2009-12-16
Japan	Arrest, detain, or charge with legal action	Naval (United States)	2012-10-17
Japan	Arrest, detain, or charge with legal action	Indigenous People (Thailand)	2014-08-18
Japan	Arrest, detain, or charge with legal action	Men (Japan)	2009-06-19
Japan	Arrest, detain, or charge with legal action	Fishermen (Japan)	2006-08-30
Japan	Arrest, detain, or charge with legal action	Men (Japan)	2005-09-12
Japan	Arrest, detain, or charge with legal action	Men (Japan)	2006-09-01
Japan	Arrest, detain, or charge with legal action	Men (Japan)	2015-05-24
Japan	Arrest, detain, or charge with legal action	Men (Japan)	2009-09-29
Japan	Arrest, detain, or charge with legal action	Military Personnel (Japan)	2010-09-28
Japan	Arrest, detain, or charge with legal action	Citizen (Australia)	2010-10-23
Japan	Arrest, detain, or charge with legal action	Defector (China)	2010-07-08
Japan	Arrest, detain, or charge with legal action	Lawmaker (Japan)	2005-03-10
Japan	Arrest, detain, or charge with legal action	Men (Japan)	2008-04-22
Japan	Arrest, detain, or charge with legal action	Military Personnel (Japan)	2008-02-01
Japan	Arrest, detain, or charge with legal action	Men (Japan)	2012-06-11
Japan	Arrest, detain, or charge with legal action	Men (Japan)	2005-02-15
Philip Ruddock	Make statement	Police (Australia)	2007-05-17
Philip Ruddock	Make statement	Rights Activist (United States)	2005-07-26
Philip Ruddock	Make statement	Lawyer/Attorney (Australia)	2007-08-27
Philip Ruddock	Make statement	Police (Australia)	2007-01-23
Philip Ruddock	Make statement	Member of Parliament (Indonesia)	2006-04-19
