head	relation	tail	time
South Sudan	Engage in diplomatic cooperation	Sudan	2015-09-09
Iran	Sign formal agreement	Legislature (Armenia)	2007-10-05
South Korea	Express intent to cooperate	Japan	2006-09-01
Cambodia	Express intent to cooperate	Thailand	2009-04-05
Mahmoud Ahmadinejad	Consult	Pervez Musharraf	2006-06-15
South Korea	Consult	Thailand	2011-12-05
Japan	Engage in diplomatic cooperation	China	2006-09-27
Military Personnel (Bahrain)	Consult	Head of Government (Bahrain)	2014-12-07
Laos	Engage in diplomatic cooperation	Vietnam	2007-01-16
Media Personnel (China)	Consult	Jin Renqing	2007-08-03
Barack Obama	Discuss by telephone	Benjamin Netanyahu	2013-01-28
Japan	Engage in diplomatic cooperation	South Korea	2005-07-15
Thailand	Sign formal agreement	France	2006-05-04
China	Engage in diplomatic cooperation	Thailand	2009-04-11
Barack Obama	Consult	Lee Myung Bak	2010-08-28
Cabinet / Council of Ministers / Advisors (Thailand)	Consult	Military Personnel (Thailand)	2007-07-25
Mike Rann	Consult	Lawyer/Attorney (Australia)	2009-05-08
Niger	Consult	Sudan	2014-08-26
Mikhail Yefimovich Fradkov	Sign formal agreement	Aigars Kalvitis	2007-03-27
Attorney General (Canada)	Consult	Police (Canada)	2013-01-24
Vietnam	Consult	Cambodia	2006-08-24
Angela Merkel	Consult	Alexis Tsipras	2015-04-23
Ethiopia	Consult	African Union	2007-06-12
South Korea	Consult	Japan	2006-10-18
Media (Cyprus)	Consult	Nicos Anastasiades	2015-02-19
Thailand	Consult	Cambodia	2010-09-26
Boris Abramovich Berezovsky	Consult	Alexander Valterovich Litvinenko	2007-02-06
Japan	Engage in diplomatic cooperation	Iran	2008-06-16
Barack Obama	Discuss by telephone	Head of Government (Egypt)	2012-11-20
Business (Taiwan)	Consult	Ma Ying Jeou	2008-06-12
Barack Obama	Consult	Head of Government (South Korea)	2009-06-16
Legislature (Greece)	Consult	Head of Government (Greece)	2014-07-11
Tanzania	Engage in diplomatic cooperation	Madagascar	2008-10-09
Japan	Engage in diplomatic cooperation	Yemen	2010-02-14
China	Sign formal agreement	Niger	2005-12-31
Vietnam	Sign formal agreement	Japan	2010-05-21
Citizen (Australia)	Consult	Royal Administration (Australia)	2009-02-23
Foreign Affairs (South Korea)	Consult	Abdul-Karim Al-Arhabi	2006-03-13
China	Engage in negotiation	France	2013-08-30
Ministry (Vietnam)	Consult	Government Official (Angola)	2015-08-10
China	Engage in diplomatic cooperation	Japan	2015-11-20
Yemen	Engage in diplomatic cooperation	China	2010-12-14
Habib Essid	Consult	Federica Mogherini	2015-02-13
Police (Philippines)	Consult	Benjamin Abalos	2007-05-01
Mao Zedong	Consult	Chiang Kai-shek	2015-11-06
Japan	Consult	China	2005-01-24
Muhammadu Buhari	Sign formal agreement	Head of Government (Nigeria)	2015-03-19
Djibouti	Engage in diplomatic cooperation	Yemen	2010-05-09
Mexico	Express intent to cooperate	Colombia	2011-12-15
Vietnam	Consult	China	2012-02-29
Andrius Kubilius	Sign formal agreement	Urmas Reinsalu	2014-09-04
Lee Myung Bak	Consult	South Korea	2009-10-26
Vietnam	Express intent to cooperate	Laos	2007-02-05
Tsakhiagiyn Elbegdorj	Consult	Xu Caihou	2012-05-14
Romania	Engage in diplomatic cooperation	Businessperson (Bulgaria)	2005-06-01
France	Consult	Barack Obama	2010-05-09
Japan	Engage in diplomatic cooperation	Vietnam	2006-11-22
France	Consult	Mahmoud Abbas	2005-10-09
China	Engage in diplomatic cooperation	South Korea	2007-04-11
China	Engage in negotiation	South Korea	2006-08-13
Barack Obama	Consult	China	2011-11-14
France	Consult	Mahmoud Abbas	2008-06-25
High Commission for Refugees	Sign formal agreement	Foreign Affairs (France)	2013-11-29
Javier Solana	Consult	France	2005-09-17
Government (Cote d'Ivoire)	Engage in negotiation	Rebel Commander (Cote d'Ivoire)	2005-04-16
Cabinet / Council of Ministers / Advisors (United States)	Consult	Sali Berisha	2012-04-26
Malaysia	Sign formal agreement	Vietnam	2015-08-02
Qatar	Consult	Iran	2011-04-30
Santos Edelmar Lopez	Engage in negotiation	Iran	2014-09-04
Laos	Consult	Thailand	2006-05-12
Cabinet / Council of Ministers / Advisors (United States)	Engage in negotiation	Seyoum Mesfin	2009-11-06
Defense / Security Ministry (Macedonia)	Consult	Fatmir Mediu	2006-02-24
China	Consult	Kazakhstan	2007-05-05
China	Engage in negotiation	France	2014-07-14
Japan	Engage in diplomatic cooperation	South Korea	2009-04-03
Herman Van Rompuy	Sign formal agreement	Lee Myung Bak	2010-10-06
Barack Obama	Consult	Benjamin Netanyahu	2015-04-04
Japan	Sign formal agreement	Lee Myung Bak	2012-07-12
Japan	Sign formal agreement	China	2008-05-16
Government Affiliated Bank (Pakistan)	Consult	Malaysia	2005-05-25
Yoshihiko Noda	Consult	Lee Myung Bak	2011-10-18
China	Engage in diplomatic cooperation	Cambodia	2010-12-03
Iran	Engage in negotiation	Kuwait	2006-05-31
Richard Boucher	Engage in negotiation	Foreign Affairs (India)	2006-04-07
Police (Canada)	Consult	Military Personnel (Canada)	2014-04-25
France	Consult	Head of Government (Democratic Republic of Congo)	2007-10-16
Chen Zhili	Consult	Lee Myung Bak	2010-08-30
Naftali Bennett	Discuss by telephone	Benjamin Netanyahu	2015-08-04
Algirdas Butkevičius	Consult	Valdis Dombrovskis	2015-01-14
South Africa	Consult	African Union	2015-06-25
Foreign Affairs (Israel)	Consult	South Africa	2009-01-14
Ministry (Sudan)	Engage in negotiation	Abdel Fattah Al-Sisi	2014-02-05
Evo Morales	Sign formal agreement	Dmitry Anatolyevich Medvedev	2009-02-16
Head of Government (Egypt)	Consult	Mahmoud Abbas	2008-04-28
China	Consult	Japan	2014-04-22
Military Personnel (Philippines)	Discuss by telephone	Inquirer	2009-02-02
Yuriy Yekhanurov	Consult	Pavol Hrusovský	2005-11-15
Ministry (Egypt)	Consult	Police (Saudi Arabia)	2006-01-25
Iran	Engage in diplomatic cooperation	South Korea	2014-01-29
Head of Government (Turkmenistan)	Consult	Police (Turkmenistan)	2015-07-01
Barack Obama	Discuss by telephone	Lee Myung Bak	2012-11-15
Nicos Anastasiades	Consult	Abdel Fattah Al-Sisi	2014-11-07
Nuri al-Maliki	Discuss by telephone	Haider Al-Abadi	2008-06-08
Nuri al-Maliki	Consult	Catherine Ashton	2013-06-17
Mahmoud Abbas	Engage in negotiation	Head of Government (Germany)	2007-04-01
China	Consult	Japan	2007-12-03
Mehr News Agency	Consult	Aladdin Boroujerdi	2010-05-05
Prime Minister Chaudhry	Consult	Prime Minister Qarase	2006-11-24
China	Consult	Ashraf Ghani Ahmadzai	2014-10-30
China	Express intent to cooperate	Japan	2005-10-17
Ma Ying Jeou	Engage in negotiation	Xi Jinping	2015-11-07
Associated Press	Discuss by telephone	Prime Minister Qarase	2006-12-12
Nuri al-Maliki	Engage in negotiation	United Arab Emirates	2008-07-08
UN Security Council	Sign formal agreement	Iran	2006-10-06
Tariq Aziz	Consult	Pakistan People's Party	2008-02-14
Government (Georgia)	Consult	Republic of South Ossetia	2007-05-22
Macky Sall	Consult	Christine Lagarde	2015-02-01
South Korea	Consult	China	2005-10-06
Javier Solana	Engage in negotiation	Iran	2006-10-04
Congress (Argentina)	Consult	Cristina Fernández de Kirchner	2011-02-27
China	Engage in negotiation	South Korea	2006-03-27
The Chronicle	Consult	New Patriotic Party	2012-05-17
Dmitry Anatolyevich Medvedev	Consult	Representatives (Russia)	2011-11-17
Citizen (Bulgaria)	Engage in diplomatic cooperation	Citizen (Greece)	2012-04-27
UN Security Council	Consult	Dmitry Anatolyevich Medvedev	2011-02-04
Lee Myung Bak	Consult	Association of Southeast Asian Nations	2012-11-19
China	Express intent to cooperate	Thailand	2006-11-19
Barack Obama	Engage in negotiation	Raúl Castro	2015-04-13
International Monetary Fund	Sign formal agreement	Romania	2014-02-04
Iran	Consult	Envoy (United States)	2008-07-19
South Sudan	Sign formal agreement	Sudan	2014-12-13
Helmut Schmidt	Consult	Wen Jiabao	2012-04-22
Yemen	Engage in diplomatic cooperation	International Monetary Fund	2012-01-30
Emilio Pérez Touriño	Consult	Daniel Scioli	2008-05-16
Government Official (Honduras)	Consult	Roberto Micheletti	2009-11-12
Wen Jiabao	Consult	China	2011-08-19
South Korea	Meet at a 'third' location	Japan	2009-02-22
Thailand	Consult	Suwat Liptapanlop	2006-10-25
China	Engage in negotiation	South Korea	2008-11-19
Kazakhstan	Consult	China	2007-08-15
Kazakhstan	Consult	China	2010-04-03
Association of Southeast Asian Nations	Consult	Ministry (South Korea)	2010-07-23
Tony Blair	Express intent to cooperate	Mahmoud Abbas	2006-09-11
James Wolfensohn	Consult	Javier Solana	2005-11-15
Shimon Peres	Consult	John Baird	2013-04-14
José Miguel Insulza	Meet at a 'third' location	Evans Paul	2005-08-11
Head of Government (Taiwan)	Consult	Eric Chu	2013-03-27
Kembo Dugish Campbell Mohadi	Consult	Movement for Democratic Change	2007-10-25
Vietnam	Express intent to cooperate	Malaysia	2010-05-13
Barack Obama	Consult	Yoshihiko Noda	2012-04-30
Association of Southeast Asian Nations	Engage in negotiation	Japan	2006-08-17
UN Security Council	Engage in negotiation	Iran	2009-09-30
Rudy Giuliani	Consult	Tony Blair	2007-09-19
Other Authorities / Officials (Nigeria)	Discuss by telephone	Media (Africa)	2011-04-20
Peace, Unity, and Development Party	Express intent to cooperate	Main Opposition (For Justice and Development)	2009-05-04
Nuri al-Maliki	Consult	Chuck Hagel	2013-11-01
Abhisit Vejjajiva	Engage in negotiation	Thailand	2009-06-15
Vietnam	Engage in diplomatic cooperation	Thailand	2007-03-22
Mahmoud Abbas	Consult	Nasser Judeh	2010-09-26
Burundi	Sign formal agreement	Tanzania	2015-07-13
Nabih Berri	Consult	Foreign Affairs (Italy)	2008-03-14
South Korea	Engage in diplomatic cooperation	Japan	2006-12-27
France	Express intent to cooperate	Dmitry Anatolyevich Medvedev	2008-08-13
South Korea	Engage in negotiation	China	2014-09-04
Ethiopia	Consult	The Hague	2007-09-11
Andrew Robb	Meet at a 'third' location	Sheikh Ahmed Abdullah	2014-04-15
Vietnam	Express intent to cooperate	China	2008-06-02
Court Judge (Africa)	Consult	Lawyer/Attorney (Kenya)	2013-10-29
Abdelkader Messahel	Consult	African Union	2015-06-15
Lal Krishna Advani	Consult	Shaukat Aziz	2005-06-05
China	Engage in diplomatic cooperation	Iran	2011-07-24
South Korea	Express intent to cooperate	Japan	2013-12-05
Vietnam	Engage in diplomatic cooperation	Laos	2007-12-14
Vietnam	Engage in diplomatic cooperation	China	2006-08-26
Iraq	Engage in negotiation	Media Personnel (Iran)	2009-01-19
Barack Obama	Consult	Royal Administration (Spain)	2010-02-17
Eritrea	Sign formal agreement	Ethiopia	2009-08-18
Yemen	Discuss by telephone	Al Sharq al Awsat	2015-06-24
U.S. Army Europe	Consult	Jonas Vytautas Žukas	2009-11-03
Richard Boucher	Consult	Pervez Musharraf	2006-04-06
Colombia	Sign formal agreement	Mexico	2012-08-31
al-Aqsa Martyrs' Brigades	Consult	Mahmoud Abbas	2005-01-23
Iran	Consult	Iraq	2014-10-27
Iran	Engage in diplomatic cooperation	South Korea	2009-03-16
China	Engage in diplomatic cooperation	Kazakhstan	2014-09-22
Zine El Abidine Ben Ali	Consult	Muhammad VI	2008-01-18
Edgars Rinkevics	Consult	Congress (United States)	2015-10-15
Sudan	Express intent to cooperate	Citizen (Sudan)	2014-09-09
China	Express intent to cooperate	Japan	2008-06-27
Head of Government (Brazil)	Consult	Colombia	2005-03-30
Barack Obama	Consult	UN Security Council	2014-03-04
United Arab Emirates	Sign formal agreement	France	2008-03-05
Terje Roed Larsen	Consult	Fawzi Salloukh	2006-03-25
Laos	Express intent to cooperate	Vietnam	2007-08-02
Wen Jiabao	Consult	Head of Government (Guyana)	2005-07-27
South Sudan	Consult	Sudan	2013-11-29
South Korea	Consult	China	2014-04-05
Thailand	Engage in negotiation	Cambodia	2010-08-02
Burundi	Consult	South Africa	2015-07-21
Roh Moo Hyun	Sign formal agreement	Islam Karimov	2006-03-30
Rafael Correa	Consult	Cristina Fernández de Kirchner	2007-03-22
United Arab Emirates	Sign formal agreement	France	2008-01-13
Thailand	Consult	Military Personnel (Thailand)	2011-04-29
Cabinet / Council of Ministers / Advisors (United States)	Consult	Benjamin Netanyahu	2015-10-16
China	Discuss by telephone	France	2008-08-05
South Africa	Consult	Mexico	2009-07-09
Thailand	Engage in diplomatic cooperation	Japan	2015-02-02
Angola	Engage in diplomatic cooperation	China	2005-06-12
Yemen	Consult	Iran	2015-03-02
"Antony Harold Curties ""Tony"" Windsor"	Consult	Member of Parliament (Australia)	2011-09-23
Vietnam	Engage in negotiation	South Korea	2009-11-17
Sergey Bagapsh	Consult	UN Security Council	2008-08-05
Dmitry Anatolyevich Medvedev	Consult	Head of Government (Ukraine)	2014-11-27
Iran	Sign formal agreement	Japan	2015-06-16
Iran	Engage in negotiation	Barack Obama	2015-04-14
China	Consult	Japan	2007-03-09
Thailand	Consult	Vietnam	2011-08-18
Niger	Engage in diplomatic cooperation	China	2006-11-06
High Commission (Malaysia)	Consult	Member of Parliament (Australia)	2010-02-27
Kazakhstan	Consult	China	2005-07-06
Japan	Sign formal agreement	South Korea	2005-06-21
China	Engage in diplomatic cooperation	Japan	2005-04-22
Joon Young Woo	Consult	Kim Kye Gwan	2007-01-24
Julie Bishop	Consult	Cabinet / Council of Ministers / Advisors (United States)	2015-10-14
Zurab Nogaideli	Consult	Boris Vyacheslavovich Gryzlov	2009-12-25
Police (Ethiopia)	Consult	Ethiopia	2015-05-05
Government (Pakistan)	Sign formal agreement	Militant (Taliban)	2009-04-26
Japan	Engage in negotiation	Wolfgang Schüssel	2006-04-23
Education (Nigeria)	Consult	Government (Nigeria)	2008-04-23
Mahmoud Abbas	Consult	Tony Blair	2008-11-09
Association of Southeast Asian Nations	Sign formal agreement	China	2009-08-15
South Sudan	Sign formal agreement	Sudan	2013-03-10
Abdullah Gül	Consult	Mahmoud Abbas	2009-01-20
Nuri al-Maliki	Consult	Congress (United States)	2006-07-26
Angola	Sign formal agreement	Guinea-Bissau	2007-10-24
Indigenous People (Portugal)	Consult	Media Personnel (Angola)	2011-07-20
Georgios Papandreou	Consult	Benazir Bhutto	2007-10-21
Oman	Consult	Algirdas Butkevičius	2015-02-03
Javier Solana	Consult	Tzipi Livni	2006-06-11
Evo Morales	Consult	Iran	2010-08-31
Iran	Engage in negotiation	Business (Iran)	2015-02-26
Association of Southeast Asian Nations	Consult	Malaysia	2005-12-09
Associated Press	Discuss by telephone	Media Personnel (Nepal)	2007-01-17
Barack Obama	Consult	Benjamin Netanyahu	2012-01-12
Trinidad and Tobago	Sign formal agreement	Bank (China)	2009-04-16
Thailand	Engage in diplomatic cooperation	Malaysia	2007-09-11
Gennady Andreyevich Zyuganov	Consult	Xi Jinping	2010-03-24
Vietnam	Sign formal agreement	South Korea	2006-11-20
Pakistan administered Kashmir	Consult	Head of Government (Pakistan)	2005-03-25
Japan	Consult	China	2005-02-25
Democratic Union of Hungarians in Romania	Sign formal agreement	National Liberal Party	2009-12-06
Barack Obama	Consult	Lee Myung Bak	2010-11-03
Angela Merkel	Express intent to cooperate	Barack Obama	2014-08-28
Madeleine Albright	Consult	Vlado Buckovski	2005-07-07
International Monetary Fund	Meet at a 'third' location	Iran	2013-10-08
Japan	Sign formal agreement	South Korea	2015-10-07
Lien Chan	Consult	Ma Ying Jeou	2014-02-01
China	Consult	South Korea	2015-11-01
Hugo Moyano	Consult	Cristina Fernández de Kirchner	2007-12-10
Iran	Sign formal agreement	Iraq	2012-01-26
Djibouti	Engage in negotiation	Ali Abdullah Saleh	2005-10-03
Herman Van Rompuy	Consult	Mahmoud Jibril	2011-07-15
David Crisafulli	Consult	City Mayor (Australia)	2014-03-27
China	Consult	South Korea	2005-12-08
Ahmed Abdallah Sambi	Discuss by telephone	Agence France-Presse	2006-05-15
Javier Solana	Consult	Hashim Thaçi	2008-02-18
China	Consult	Xi Jinping	2014-09-23
African Union	Consult	Ramtane Lamamra	2014-04-20
China	Sign formal agreement	South Africa	2011-09-29
Japan	Express intent to cooperate	China	2009-10-25
Japan	Consult	South Korea	2011-03-20
China	Consult	Japan	2012-05-23
Citizen (Thailand)	Declare truce, ceasefire	Thailand	2006-11-10
Hisham Qandil	Consult	Ministry (Egypt)	2013-03-16
China	Engage in negotiation	Japan	2006-10-04
National United Front for Democracy Against Dictatorship	Engage in negotiation	Military Personnel (Thailand)	2011-02-18
South Korea	Engage in diplomatic cooperation	Japan	2005-04-04
Japan	Consult	Muhammadiyah	2006-08-24
Other Authorities / Officials (Namibia)	Consult	Ruling Party (Namibia)	2014-09-19
Cabinet / Council of Ministers / Advisors (United States)	Consult	Dominican Republic	2010-03-05
Barack Obama	Consult	Head of Government (Pakistan)	2008-07-30
Activist (Syria)	Discuss by telephone	Agence France-Presse	2011-08-18
Angela Merkel	Discuss by telephone	Barack Obama	2015-07-07
Japan	Sign formal agreement	Middle East	2013-10-25
Makhotso Magdeline Sotyu	Consult	Police (South Africa)	2012-06-15
West African Development Bank	Sign formal agreement	Togo	2012-12-29
Sudan	Engage in negotiation	South Sudan	2012-07-27
Shivraj Patil	Consult	Governor (India)	2005-01-31
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Mahmoud Abbas	2013-04-21
Barack Obama	Express intent to cooperate	China	2010-04-12
Radoslaw Sikorski	Consult	Arseniy Yatsenyuk	2014-07-16
Al Sharq al Awsat	Consult	Jamal Ma'ruf	2014-10-28
Nasser Judeh	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2010-02-15
Defense / Security Ministry (Nigeria)	Consult	Alex Badeh	2014-06-09
Michael Sata	Engage in negotiation	Xi Jinping	2013-04-07
Barack Obama	Consult	Ashraf Ghani Ahmadzai	2015-03-17
Gerhard Schröder	Express intent to cooperate	Angela Merkel	2005-09-22
Barack Obama	Discuss by telephone	Xi Jinping	2015-02-26
Abdullah Gül	Consult	Dmitry Anatolyevich Medvedev	2009-05-15
Angela Merkel	Engage in negotiation	Antonis Samaras	2013-07-17
Vietnam	Sign formal agreement	Cambodia	2005-11-29
Head of Government (Cyprus)	Consult	Angela Merkel	2013-03-18
Lawmaker (Lebanon)	Consult	Nabih Berri	2013-06-20
South Korea	Sign formal agreement	Japan	2006-04-25
Abdel Fattah Al-Sisi	Engage in negotiation	Head of Government (Ethiopia)	2014-06-29
France	Engage in diplomatic cooperation	Yemen	2007-06-26
Evo Morales	Consult	Government (France)	2014-01-20
National Resistance Movement	Consult	Police (Uganda)	2010-10-04
Viktor Orban	Consult	Democratic Union of Hungarians in Romania	2013-07-28
South Korea	Engage in diplomatic cooperation	Iran	2014-01-30
Xi Jinping	Consult	Jakaya Mrisho Kikwete	2015-04-27
Tony Blair	Consult	Angela Merkel	2007-12-18
Angola	Consult	African Union	2006-07-07
Lockwood Smith	Consult	George Yeo	2010-06-15
Sergey Kuzhugetovich Shoygu	Consult	Defense / Security Ministry (United States)	2014-08-17
Head of Government (Ukraine)	Consult	Kostyantyn Gryshchenko	2012-01-13
Head of Government (Brazil)	Consult	Eduardo Sigal	2006-10-01
Association of Southeast Asian Nations	Engage in diplomatic cooperation	China	2007-10-30
Activist (United States)	Consult	Evo Morales	2005-12-28
Ministry (Sierra Leone)	Discuss by telephone	Agence France-Presse	2006-10-04
Thailand	Express intent to cooperate	Cambodia	2011-07-21
