head	relation_x	tail	time
Kyaw Hsan	Make a visit	Vietnam	2008-08-06
Stephen Rapp	Make a visit	Ministry (Senegal)	2013-10-01
Kazakhstan	Make a visit	Iran	2015-08-23
Segolene Royal	Make a visit	Middle East	2006-12-20
Islam Karimov	Make a visit	China	2012-06-03
Ethiopia	Make a visit	Eritrea	2008-07-15
Mikhail Yefimovich Fradkov	Make a visit	South Africa	2007-03-19
Wang Ching-feng	Make a visit	China	2010-04-29
South Sudan	Make a visit	Sudan	2012-01-26
Lee Myung Bak	Make a visit	Japan	2012-08-10
Barack Obama	Make a visit	France	2009-06-03
Roh Moo Hyun	Make a visit	China	2005-10-25
Serik Akhmetov	Make a visit	Kazakhstan	2012-11-02
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Mexico	2012-02-18
Wen Jiabao	Make a visit	Japan	2011-05-16
Mahmoud Ahmadinejad	Make a visit	Iraq	2008-03-06
Barack Obama	Make a visit	Mexico	2009-08-06
Lawmaker (Japan)	Make a visit	South Korea	2011-07-26
Tzipi Livni	Make a visit	Qatar	2008-04-13
France	Make a visit	Iran	2014-02-02
Hung Chi-chang	Make a visit	China	2007-12-23
Foreign Affairs (Denmark)	Make a visit	China	2015-10-26
Oluṣẹgun Ọbasanjọ	Make a visit	Trinidad and Tobago	2005-08-01
Energy Department/Ministry (Russia)	Make a visit	Iran	2013-12-16
Abdel Fattah Al-Sisi	Make a visit	France	2014-11-26
Ministry (Iran)	Make a visit	Bolivia	2011-06-02
Antonis Samaras	Make a visit	China	2013-05-18
China	Make a visit	Dmitry Anatolyevich Medvedev	2012-04-27
Foreign Affairs (South Korea)	Make a visit	Japan	2006-03-06
Royal Administration (Japan)	Make a visit	China	2005-03-07
Jakaya Mrisho Kikwete	Make a visit	Kuwait	2013-05-06
Bill Richardson	Make a visit	Sudan	2007-01-19
Jason C. Hu	Make a visit	China	2005-10-07
Barack Obama	Make a visit	Iraq	2014-10-15
Xi Jinping	Make a visit	Romania	2009-10-19
African Union	Make a visit	Ethiopia	2009-02-05
Japan	Make a visit	France	2006-01-08
African Union	Make a visit	Middle East	2010-07-26
Ma Ying Jeou	Make a visit	Straits Exchange Foundation	2009-05-08
Peter Pace	Make a visit	China	2007-03-23
Yasuo Fukuda	Make a visit	Japan	2008-05-08
Vietnam	Make a visit	Wen Jiabao	2008-02-05
Lee Myung Bak	Make a visit	South Korea	2010-03-05
Kuwait	Make a visit	Iraq	2007-03-06
Wen Jiabao	Make a visit	Japan	2008-05-08
Government Official (Taiwan)	Make a visit	China	2013-10-12
Criminal (Palestinian Territory, Occupied)	Make a visit	United Arab Emirates	2010-02-21
Attack Craft (United States)	Make a visit	Japan	2007-03-06
Maumoon Abdul Gayoom	Make a visit	China	2007-07-08
Barack Obama	Make a visit	France	2015-01-26
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	France	2014-02-20
James Wolfensohn	Make a visit	Thailand	2008-03-07
Head of Government (Colombia)	Make a visit	Mexico	2015-05-08
Roh Moo Hyun	Make a visit	Qatar	2007-03-29
Jason C. Hu	Make a visit	Japan	2007-03-28
Mahmoud Ahmadinejad	Make a visit	Indigenous People (Kenya)	2009-02-26
Foreign Affairs (Venezuela)	Make a visit	Iran	2009-11-17
Envoy (United States)	Make a visit	Malaysia	2009-07-06
Mahmoud Ahmadinejad	Make a visit	Kuwait	2012-10-21
Wen Jiabao	Make a visit	Japan	2011-05-22
Raúl Castro	Make a visit	Vietnam	2005-05-04
Vietnam	Make a visit	Laos	2007-04-19
Viktor Orban	Make a visit	Iran	2015-11-29
Association of Southeast Asian Nations	Make a visit	Vietnam	2010-10-07
Nabih Berri	Make a visit	Education Ministry (United Arab Emirates)	2009-10-13
Presidential Family (Mongolia)	Make a visit	Japan	2010-11-18
Barack Obama	Make a visit	China	2015-04-04
Hashim Thaçi	Make a visit	Abdullah Gül	2010-05-21
Guatemala	Make a visit	Mexico	2009-08-15
David Giles	Make a visit	United Arab Emirates	2008-09-02
Umaru Musa Yar'Adua	Make a visit	South Africa	2008-06-02
Julia Gillard	Make a visit	Japan	2011-04-13
Dmitry Anatolyevich Medvedev	Make a visit	China	2010-11-08
Bolivia	Make a visit	The Hague	2014-09-05
William Ruto	Make a visit	The Hague	2010-11-10
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Togo	2012-01-16
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	China	2014-02-14
Xi Jinping	Make a visit	Thailand	2011-12-24
Var Kim Hong	Make a visit	Vietnam	2010-01-18
Cristina Fernández de Kirchner	Make a visit	Angela Merkel	2010-10-06
Abdullah Gül	Make a visit	Tatarstan	2009-02-14
Wen Jiabao	Make a visit	Japan	2010-07-22
Mahmoud Ahmadinejad	Make a visit	Iran	2008-11-23
Isaias Afewerki	Make a visit	Qatar	2008-05-23
Lee Myung Bak	Make a visit	Japan	2011-12-05
China	Make a visit	South Korea	2015-03-21
China	Make a visit	Ethiopia	2012-09-04
Angela Merkel	Make a visit	Middle East	2007-04-03
Royal Administration (Saudi Arabia)	Make a visit	Barack Obama	2015-09-05
Mahmoud Ahmadinejad	Make a visit	Thailand	2013-05-18
Nuri al-Maliki	Make a visit	Kuwait	2012-03-16
Carlos Alberto Pires Tiny	Make a visit	Angola	2008-11-14
Alberto Fujimori	Make a visit	Japan	2005-12-11
Mahmoud Abbas	Make a visit	Tony Blair	2006-12-18
Ashraf Ghani Ahmadzai	Make a visit	China	2014-10-27
Javier Solana	Make a visit	Iran	2008-06-15
Lee Myung Bak	Make a visit	Japan	2008-10-14
Mahmoud Abbas	Make a visit	Japan	2012-04-14
Barack Obama	Make a visit	Oman	2008-11-11
Nuri al-Maliki	Make a visit	Iran	2007-08-09
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Iraq	2005-06-02
Vietnam	Make a visit	Malaysia	2009-11-10
Foreign Affairs (Malaysia)	Make a visit	Vietnam	2007-08-29
Veterans (Russia)	Make a visit	Romania	2012-05-02
Surakiart Sathirathai	Make a visit	Thailand	2006-09-20
Mahmoud Ahmadinejad	Make a visit	Iran	2013-07-21
Pervez Musharraf	Make a visit	Kuwait	2005-11-28
Shivraj Patil	Make a visit	China	2005-09-06
United Arab Emirates	Make a visit	Ireland	2007-04-26
Head of Government (Egypt)	Make a visit	Iran	2012-09-03
Catherine Ashton	Make a visit	Middle East	2011-09-08
African Union	Make a visit	Ethiopia	2007-11-28
Abdullah Gül	Make a visit	Iran	2009-03-17
Abhisit Vejjajiva	Make a visit	Cambodia	2011-01-16
Barack Obama	Make a visit	Japan	2010-06-25
Barack Obama	Make a visit	France	2015-11-25
Consultative Assembly of Oman	Make a visit	Ethiopia	2013-05-12
Mahmoud Ahmadinejad	Make a visit	China	2010-06-11
Souleymane Ndéné Ndiaye	Make a visit	Kuwait	2009-11-17
Military (Russia)	Make a visit	France	2011-06-21
Pervez Musharraf	Make a visit	Iran	2006-04-19
Ovid Tzeng	Make a visit	China	2010-11-21
Gerhard Schröder	Make a visit	Qatar	2005-03-01
Rafael Correa	Make a visit	Iran	2008-12-06
Envoy (United States)	Make a visit	South Korea	2006-01-11
Shivraj Patil	Make a visit	China	2006-11-15
China	Make a visit	Sudan	2008-07-17
Harald V	Make a visit	Indigenous People (Norway)	2009-06-10
Antonis Samaras	Make a visit	Zhang Dejiang	2013-05-17
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	South Korea	2009-06-03
Kuomintang	Make a visit	China	2012-04-30
Businessperson (Germany)	Make a visit	South Africa	2010-02-21
Noureddine Zerhouni	Make a visit	France	2007-10-04
Secret Agent (South Korea)	Make a visit	Japan	2010-07-08
France	Make a visit	Thailand	2006-02-16
Benjamin Netanyahu	Make a visit	Barack Obama	2010-04-26
Hannes Swoboda	Make a visit	Iran	2013-10-21
Xi Jinping	Make a visit	China	2014-05-17
Nuri al-Maliki	Make a visit	Iraq	2008-09-19
Nuri al-Maliki	Make a visit	Iran	2008-05-01
Vietnam	Make a visit	Laos	2010-09-14
Jaime Paz	Make a visit	China	2005-05-11
Lien Chan	Make a visit	China	2006-04-18
City Mayor (United States)	Make a visit	Mexico	2009-11-30
Iran	Make a visit	Iraq	2008-03-05
Okada Katsuya	Make a visit	Middle East	2005-03-30
Head of Government (India)	Make a visit	United Arab Emirates	2015-08-10
David Bakradze	Make a visit	Congress (United States)	2011-11-04
Yu Zhengsheng	Make a visit	China	2013-06-29
Meira Kumar	Make a visit	Mexico	2011-04-13
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	China	2005-07-31
Iraq	Make a visit	Iran	2011-09-05
Government (Qatar)	Make a visit	Sudan	2012-01-16
Congress (United States)	Make a visit	Shura Council	2006-01-05
Ashraf Ghani Ahmadzai	Make a visit	China	2014-10-30
Abdel Fattah Al-Sisi	Make a visit	China	2014-12-22
Shimon Peres	Make a visit	Vietnam	2011-11-22
Kazuhiro Haraguchi	Make a visit	Japan	2010-10-10
Barack Obama	Make a visit	France	2009-04-09
European Central Bank	Make a visit	Portugal	2011-04-13
Dmitry Anatolyevich Medvedev	Make a visit	Kazakhstan	2012-05-28
Islam Karimov	Make a visit	Cabinet / Council of Ministers / Advisors (United States)	2015-11-01
Cristina Fernández de Kirchner	Make a visit	France	2011-09-12
Dmitry Anatolyevich Medvedev	Make a visit	Japan	2008-07-03
UN Security Council	Make a visit	Sudan	2006-04-04
Nuri al-Maliki	Make a visit	Legislature (Iraq)	2009-12-10
Foreign Affairs (Belgium)	Make a visit	Iran	2015-11-10
Dmitry Olegovich Rogozin	Make a visit	Iran	2015-11-17
Media Personnel (Gabon)	Make a visit	France	2009-06-15
Foreign Affairs (Singapore)	Make a visit	Royal Administration (Saudi Arabia)	2014-12-30
Mahmoud Abbas	Make a visit	Alexis Tsipras	2015-12-21
China	Make a visit	Defense / Security Ministry (United States)	2007-11-05
Lawyer/Attorney (Chad)	Make a visit	France	2007-10-31
Chen Bingde	Make a visit	Education (Serbia)	2011-09-12
Wen Jiabao	Make a visit	China	2009-08-25
African Union	Make a visit	Iran	2009-02-02
Xi Jinping	Make a visit	France	2014-09-15
Government (Sudan)	Make a visit	Qatar	2010-10-18
Abdel Fattah Al-Sisi	Make a visit	Ethiopia	2015-02-12
Chancellor of the Exchequer	Make a visit	China	2015-09-22
Ian Paisley	Make a visit	Bertie Ahern	2007-04-26
African Union	Make a visit	Malawi	2012-04-18
Cristina Fernández de Kirchner	Make a visit	Middle East	2011-01-14
Mahmoud Abbas	Make a visit	Djibouti	2010-07-07
Seyoum Mesfin	Make a visit	Sudan	2008-05-13
International Government Organizations	Make a visit	France	2008-06-13
Kazakhstan	Make a visit	China	2014-10-29
Catherine Ashton	Make a visit	Iran	2014-04-08
Tourist (South Korea)	Make a visit	Yemen	2009-03-31
Head of Government (India)	Make a visit	Vietnam	2008-11-28
Emperor Akihito	Make a visit	Ireland	2005-05-14
Abdullah Gül	Make a visit	Qatar	2008-02-05
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	South Korea	2013-09-08
Tourist (South Korea)	Make a visit	China	2007-01-22
Pervez Musharraf	Make a visit	China	2007-08-21
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	China	2014-07-08
China	Make a visit	Vietnam	2009-09-11
Yemen	Make a visit	Iran	2015-03-03
Barack Obama	Make a visit	Foreign Affairs (France)	2015-01-08
Defense / Security Ministry (United States)	Make a visit	South Korea	2011-10-26
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	South Korea	2015-02-09
Tony Blair	Make a visit	Iraq	2006-05-24
Xi Jinping	Make a visit	China	2015-02-17
Head of Government (Germany)	Make a visit	South Korea	2010-02-08
Macky Sall	Make a visit	France	2013-03-04
Japan	Make a visit	China	2011-03-12
China	Make a visit	Vietnam	2012-04-23
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Iraq	2014-06-20
Michael Andrew Gove	Make a visit	China	2010-11-09
Mahmoud Abbas	Make a visit	Farouk al-Sharaa	2005-07-06
Chuck Hagel	Make a visit	South Korea	2013-10-05
Dmitry Anatolyevich Medvedev	Make a visit	Gurbanguly Berdymukhammedov	2008-07-05
Peter Pace	Make a visit	China	2007-03-30
Javier Solana	Make a visit	Iran	2006-07-04
Armed Gang (Al Qaeda)	Make a visit	France	2012-10-17
Julia Gillard	Make a visit	France	2011-09-01
Barack Obama	Make a visit	Malaysia	2013-10-02
Baldev Singh	Make a visit	Education (United States)	2015-08-18
China	Make a visit	Cabinet / Council of Ministers / Advisors (United States)	2014-02-14
Guy Scott	Make a visit	Malawi	2011-10-14
Ma Ying Jeou	Make a visit	Japan	2007-10-29
Evo Morales	Make a visit	China	2014-10-14
Thailand	Make a visit	China	2007-11-18
Daniel Arap Moi	Make a visit	Sudan	2007-08-13
Mahmoud Abbas	Make a visit	France	2015-01-11
Staffan de Mistura	Make a visit	Iran	2015-07-23
Tsakhiagiyn Elbegdorj	Make a visit	China	2015-11-11
Kuomintang	Make a visit	China	2005-04-10
Congress (United States)	Make a visit	Thailand	2013-09-04
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Japan	2009-02-15
Eshaq Jahangiri	Make a visit	Iraq	2015-02-16
Foreign Affairs (Syria)	Make a visit	China	2013-02-04
Lee Myung Bak	Make a visit	Japan	2012-10-12
Ali Abdullah Saleh	Make a visit	China	2009-12-28
Foreign Affairs (France)	Make a visit	Romania	2008-11-07
William J. Fallon	Make a visit	Ismaïl Omar Guelleh	2007-05-13
Roh Moo Hyun	Make a visit	Japan	2006-01-16
African Union	Make a visit	Niger	2011-01-14
Communist Party of Brazil	Make a visit	Vietnam	2013-04-11
Elizabeth II	Make a visit	Ireland	2010-06-23
John Brennan	Make a visit	Yemen	2012-02-19
Kim Hwang Sik	Make a visit	China	2011-04-13
Lien Chan	Make a visit	China	2005-04-06
China	Make a visit	South Korea	2007-11-26
China	Make a visit	Japan	2011-03-20
Dmitry Anatolyevich Medvedev	Make a visit	Japan	2015-08-23
Iran	Make a visit	China	2013-10-13
Envoy (United States)	Make a visit	Sudan	2006-10-14
Togo	Make a visit	Niger	2011-02-25
Xi Jinping	Make a visit	China	2015-05-23
Citizen (Australia)	Make a visit	Iraq	2014-06-23
Human Rights Watch	Make a visit	Qatar	2013-08-29
Tsai Ing-wen	Make a visit	Japan	2009-12-08
Lockwood Smith	Make a visit	Vietnam	2009-04-16
Evo Morales	Make a visit	China	2006-01-10
Hilmi Özkök	Make a visit	Yemen	2005-05-06
Abu Salem	Make a visit	United Arab Emirates	2007-08-30
Member of Legislative (Govt) (Lebanon)	Make a visit	Iran	2013-11-26
Evo Morales	Make a visit	South Africa	2006-01-25
Employee (Non-Governmental Organizations)	Make a visit	South Korea	2010-06-07
Ministry (Tunisia)	Make a visit	Abdeslam Bouchouareb	2015-09-28
Koichiro Matsuura	Make a visit	France	2006-03-01
Roque Arregui	Make a visit	China	2010-01-04
Head of Government (Pakistan)	Make a visit	Farouk al-Sharaa	2007-01-23
Dmitry Anatolyevich Medvedev	Make a visit	Republic of South Ossetia	2009-07-16
Lee Myung Bak	Make a visit	Japan	2010-12-07
Agus Dwikarna	Make a visit	Thailand	2014-03-05
Wen Jiabao	Make a visit	China	2009-05-08
Julie Bishop	Make a visit	Madagascar	2014-09-12
Antonis Samaras	Make a visit	Business (Belgium)	2013-10-15
China	Make a visit	Henry M. Paulson	2006-09-23
Barack Obama	Make a visit	Mexico	2011-05-10
Frank Bainimarama	Make a visit	Middle East	2006-11-04
Thailand	Make a visit	Malaysia	2014-12-10
Lee Myung Bak	Make a visit	South Korea	2015-12-28
Japan	Make a visit	Vietnam	2006-11-20
Cambodia	Make a visit	Middle East	2009-01-15
Mwai Kibaki	Make a visit	Tanzania	2013-02-21
Ashraf Ghani Ahmadzai	Make a visit	China	2014-10-23
Roh Moo Hyun	Make a visit	Kuwait	2007-03-16
Raúl Castro	Make a visit	Vietnam	2005-04-28
Envoy (United States)	Make a visit	Saud bin Faisal bin Abdul-Aziz	2008-04-27
Wen Jiabao	Make a visit	Angola	2006-06-23
Business (South Korea)	Make a visit	South Africa	2010-05-21
Lapo Pistelli	Make a visit	Ethiopia	2014-07-05
Tsakhiagiyn Elbegdorj	Make a visit	China	2011-08-26
Abu Bakr Abdullah al-Qirbi	Make a visit	Kuwait	2008-05-06
Volker Kauder	Make a visit	Vietnam	2015-08-24
Barack Obama	Make a visit	Mexico	2009-03-21
Admiral (Russia)	Make a visit	Japan	2005-07-06
Governor (Japan)	Make a visit	South Korea	2012-08-17
Mahmoud Ahmadinejad	Make a visit	Ahmed Abdallah Sambi	2009-02-25
Shimon Peres	Make a visit	Cabinet / Council of Ministers / Advisors (United States)	2014-01-02
Bruce Golding	Make a visit	China	2010-02-06
Angela Merkel	Make a visit	China	2015-10-29
Evo Morales	Make a visit	France	2009-02-16
Hui Liangyu	Make a visit	China	2010-04-13
Head of Government (Palau)	Make a visit	Shimon Peres	2011-11-22
Roh Moo Hyun	Make a visit	South Korea	2006-10-25
Barack Obama	Make a visit	Japan	2009-10-11
Elias Murr	Make a visit	France	2011-01-27
Abdullah Gül	Make a visit	Qatar	2008-02-07
Barack Obama	Make a visit	Malaysia	2014-07-01
Mahmoud Abbas	Make a visit	Qatar	2009-05-22
Javier Solana	Make a visit	Middle East	2006-07-20
Abdullah Gül	Make a visit	China	2009-07-08
Shimon Peres	Make a visit	Kazakhstan	2009-10-13
South Korea	Make a visit	China	2005-09-13
Council of Representatives	Make a visit	Adil Abdul-Mahdi	2008-06-19
Angola	Make a visit	Swaziland	2008-10-20
Jack Lang	Make a visit	Iran	2006-09-05
UN Security Council	Make a visit	Iran	2011-08-16
Thailand	Make a visit	Japan	2015-02-06
Head of Government (Pakistan)	Make a visit	Bhutan	2010-04-30
Javier Solana	Make a visit	Malaysia	2006-07-27
Emperor Akihito	Make a visit	Japan	2005-06-28
Lee Myung Bak	Make a visit	China	2008-08-09
Georgios Papandreou	Make a visit	Middle East	2006-06-27
Head of Government (Colombia)	Make a visit	France	2008-07-28
Julia Gillard	Make a visit	South Africa	2009-06-26
Catherine Ashton	Make a visit	Middle East	2011-02-17
Israeli Defense Forces	Make a visit	Japan	2011-03-21
Media Personnel (International)	Make a visit	Monastery (China)	2011-04-05
Lawmaker (Japan)	Make a visit	Vietnam	2010-10-13
Alberto Fujimori	Make a visit	Japan	2006-05-18
Head of Government (South Korea)	Make a visit	Laos	2012-11-05
Dmitry Anatolyevich Medvedev	Make a visit	Kazakhstan	2008-05-26
Tony Blair	Make a visit	Middle East	2006-12-22
Doctors Without Borders	Make a visit	Iran	2015-06-29
Head of Government (Ukraine)	Make a visit	Vietnam	2011-10-05
Head of Government (Bahrain)	Make a visit	Pervez Musharraf	2005-06-28
Lien Chan	Make a visit	City Mayor (China)	2005-10-18
Mahmoud Ahmadinejad	Make a visit	Iran	2007-10-23
Japan	Make a visit	South Korea	2013-10-02
Head of Government (Ghana)	Make a visit	Umaru Musa Yar'Adua	2009-06-22
Javier Solana	Make a visit	Middle East	2007-01-27
Dmitry Anatolyevich Medvedev	Make a visit	Barack Obama	2010-07-01
Mahmoud Ahmadinejad	Make a visit	Iraq	2013-07-17
Angela Merkel	Make a visit	China	2007-08-30
Lee Myung Bak	Make a visit	South Korea	2009-02-25
Prachanda	Make a visit	China	2008-08-25
Oluṣẹgun Ọbasanjọ	Make a visit	Ethiopia	2006-10-10
Japan	Make a visit	China	2007-04-28
Mahmoud Ahmadinejad	Make a visit	Iran	2006-12-15
Jian Yu	Make a visit	Cabinet / Council of Ministers / Advisors (United States)	2008-01-17
Iran	Make a visit	Vietnam	2008-07-29
George Yeo	Make a visit	Yemen	2007-05-25
Emperor Akihito	Make a visit	Japan	2007-05-30
Military (Russia)	Make a visit	China	2009-07-17
Ma Ying Jeou	Make a visit	Japan	2007-11-23
Donald Rumsfeld	Make a visit	France	2005-02-09
Mwai Kibaki	Make a visit	Tanzania	2009-11-19
Xi Jinping	Make a visit	Colombia	2009-02-10
Government Official (Japan)	Make a visit	John Baird	2014-07-28
Donald Rumsfeld	Make a visit	Guatemala	2005-03-22
John Faulkner	Make a visit	United Arab Emirates	2010-06-10
China	Make a visit	South Korea	2014-07-03
Special Rapporteurs of the United Nations	Make a visit	Mexico	2010-09-29
Catherine Ashton	Make a visit	Middle East	2011-02-16
Romania	Make a visit	China	2008-04-14
Business (Austria)	Make a visit	France	2005-08-09
Donald Rumsfeld	Make a visit	China	2005-02-10
Wen Jiabao	Make a visit	Japan	2011-10-14
Japan	Make a visit	China	2005-03-20
Roh Moo Hyun	Make a visit	Japan	2005-12-13
Mustafa Mkulo	Make a visit	Tanzania	2010-04-14
South Africa	Make a visit	Sudan	2006-06-23
George Yeo	Make a visit	Japan	2007-10-26
Lien Chan	Make a visit	China	2008-08-06
Sergey Vladilenovich Kiriyenko	Make a visit	Iran	2006-12-12
Vietnam	Make a visit	Cambodia	2009-03-17
Barack Obama	Make a visit	France	2010-12-01
African Union	Make a visit	Ethiopia	2012-07-20
Tony Blair	Make a visit	China	2005-09-03
Iraq	Make a visit	Iran	2014-12-09
Ali Abdullah Saleh	Make a visit	Yemen	2010-05-06
